检索关键词,岗位名称,省份,城市,薪资原始文本,平均月薪,学历门槛,工作年限要求,企业名称
数据,百度无人驾驶数据标注,河南,河南省新乡市,3000-5000元/月,4000.0,中专/中技,不限,新乡市云数信息科技有限公司
数据,数据分析师（电商+AI数据方向）,河南,河南省郑州市,8000-13000元/月,10500.0,本科,1-3年,河南领驰文化传媒有限公司
数据,数据分析师（电商+AI数据方向）,河南,河南省郑州市,8000-13000元/月,10500.0,本科,1-3年,河南领驰文化传媒有限公司
数据,数据采集,河南,河南省开封市,4000-6000元/月,5000.0,大专,1-3年,开封市示范区数安信息科技工作室个体工商户
数据,AI数据标注/AI训练师,河南,河南省郑州市,4000-6000元/月,5000.0,本科,不限,泉行智数郑州科技有限公司
数据,智能驾驶数据标注师,河南,河南省新乡市,3000-6000元/月,4500.0,中专/中技,不限,新乡市云数信息科技有限公司
数据,数据标注/AI训练师,河南,河南省郑州市,2000-4000元/月,3000.0,高中,不限,郑州标得快大数据有限公司
数据,数据标注/AI训练师,河南,河南省郑州市,4000-6000元/月,5000.0,本科,不限,泉行智数郑州科技有限公司
数据,办公室数据文员,河南,河南省濮阳市,3000-6000元/月,4500.0,不限,不限,濮阳市蓝海智能网络数据服务有限公司
数据,数据文员,河南,河南省濮阳市,3000-6000元/月,4500.0,不限,不限,濮阳市蓝海智能网络数据服务有限公司
数据,数据标注/AI训练师,河南,河南省濮阳市,3000-6000元/月,4500.0,不限,不限,濮阳市蓝海智能网络数据服务有限公司
数据,ai数据标注员,河南,河南省濮阳市,3000-6000元/月,4500.0,不限,不限,濮阳市蓝禾数产科技有限公司
数据,数据采集,河南,河南省开封市,4000-6000元/月,5000.0,大专,1-3年,开封市示范区数安信息科技工作室个体工商户
数据,ai数据标注师,河南,河南省濮阳市,3000-8000元/月,5500.0,不限,不限,河南芒果智能数字科技有限公司
数据,数据标注员,河南,河南省濮阳市,3000-8000元/月,5500.0,不限,不限,河南芒果智能数字科技有限公司
数据,ai数据标注,河南,河南省濮阳市,3000-8000元/月,5500.0,不限,不限,河南芒果智能数字科技有限公司
数据,大数据标注员,河南,河南省郑州市,2000-4000元/月,3000.0,不限,不限,郑州标得快大数据有限公司
数据,数据处理专员（夜班制）,河南,河南省南阳市,3000-7000元/月,5000.0,大专,,极智数据北京科技有限责任公司邓州分公司
数据,数据标注/AI训练师,河南,河南省南阳市,3000-7000元/月,5000.0,大专,不限,极智数据北京科技有限责任公司邓州分公司
数据,数据标注专员,河南,河南省濮阳市,3000-4000元/月,3500.0,不限,不限,濮阳星讯大数据有限公司
数据,数据标注,河南,河南省濮阳市,3000-5000元/月,4000.0,不限,不限,濮阳星讯大数据有限公司
数据,数据标注员,河南,河南省商丘市,3000-5000元/月,4000.0,不限,,商丘数测大数据科技有限公司
数据,数据标注/AI训练师,河南,河南省郑州市,4000-8000元/月,6000.0,大专,1-3年,量渊算域郑州数据科技有限公司
数据,双休 纯文职数据标注岗,河南,河南省商丘市,3000-4000元/月,3500.0,本科,不限,河南灵跃大数据有限公司
数据,数据标注/ai训练师,河南,河南省郑州市,4000-9000元/月,6500.0,大专,不限,量渊算域郑州数据科技有限公司
数据,文员数据岗,河南,河南省开封市,3000-5000元/月,4000.0,大专,不限,开封嘉润大数据有限公司
数据,ai数据标注,河南,河南省濮阳市,4000-5000元/月,4500.0,不限,不限,濮阳星讯大数据有限公司
数据,文员数据岗,河南,河南省开封市,2000-5000元/月,3500.0,大专,不限,开封嘉润大数据有限公司
数据,文员数据岗,河南,河南省开封市,2000-5000元/月,3500.0,大专,不限,开封嘉润大数据有限公司
数据,ai数据标注,河南,河南省濮阳市,3000-6000元/月,4500.0,中专/中技,不限,贵州端木优才通大数据有限公司
数据,数据 标注员,河南,河南省濮阳市,3000-6000元/月,4500.0,中专/中技,不限,贵州端木优才通大数据有限公司
数据,数据标注专员,河南,河南省平顶山市,3000-4000元/月,3500.0,不限,1-3年,河南海森大数据科技有限公司
数据,数据标注,河南,河南省商丘市,3000-4000元/月,3500.0,大专,不限,河南微航联云大数据研究院有限公司
数据,数据审核员/AI训练师,河南,河南省濮阳市,3000-6000元/月,4500.0,高中,不限,河南星禾大数据有限公司
数据,视频数据标注,河南,河南省郑州市,5000-8000元/月,6500.0,本科,1-3年,泉行智数郑州科技有限公司
数据,招聘数据标注,河南,河南省郑州市,3000-5000元/月,4000.0,本科,,泉行智数郑州科技有限公司
数据,影视数据标注,河南,河南省郑州市,5000-8000元/月,6500.0,本科,1-3年,泉行智数郑州科技有限公司
数据,数据标注专员,河南,河南省濮阳市,3000-8000元/月,5500.0,不限,不限,河南芒果智能数字科技有限公司
数据,数据标注,河南,河南省安阳市,3000-5000元/月,4000.0,高中,不限,安阳拓星数字科技有限公司
数据,数据标注专员,河南,河南省驻马店市,3000-8000元/月,5500.0,大专,不限,驻马店青承数产科技有限公司
数据,数据开发工程师,河南,河南省南阳市,8000-13000元/月,10500.0,大专,3-5年,华企数煜郑州技术有限公司
数据,数据标注专员,河南,河南省驻马店市,3000-8000元/月,5500.0,大专,不限,驻马店青承数产科技有限公司
数据,图片标注/数据标注/办公室/无销售,河南,河南省开封市,2000-5000元/月,3500.0,高中,不限,开封嘉润大数据有限公司
数据,图片标注/数据标注/办公室办公/无销售,河南,河南省开封市,3000-5000元/月,4000.0,高中,不限,开封嘉润大数据有限公司
数据,ai数据标注,河南,河南省安阳市,2000-5000元/月,3500.0,大专,不限,安阳云数科技有限公司
数据,数据分析专家,河南,河南省郑州市,15000-25000元/月,20000.0,本科,10年以上,吉客印郑州数字科技有限公司
数据,数据开发,河南,河南省南阳市,9000-12000元/月,10500.0,大专,3-5年,华企数煜郑州技术有限公司
数据,数据标注专员,河南,河南省郑州市,3000-8000元/月,5500.0,大专,不限,北京中谦数智科技有限公司
数据,数据标注/AI训练师,河南,河南省平顶山市,3000-8000元/月,5500.0,不限,不限,平顶山数采科技有限公司
数据,数据标注行业-项目主管,河南,河南省郑州市,6000-8000元/月,7000.0,大专,1-3年,泉行智数郑州科技有限公司
数据,数据标注行业-项目经理,河南,河南省郑州市,8000-12000元/月,10000.0,大专,1-3年,泉行智数郑州科技有限公司
数据,数据标注 项目主管,河南,河南省郑州市,6000-8000元/月,7000.0,大专,1-3年,泉行智数郑州科技有限公司
数据,项目经理数据标注,河南,河南省郑州市,8000-12000元/月,10000.0,大专,1-3年,泉行智数郑州科技有限公司
数据,数据标注——专四,河南,河南省郑州市,4000-5000元/月,4500.0,本科,不限,泉行智数郑州科技有限公司
数据,AI业务+数据架构师,河南,河南省郑州市,25000-50000元/月,37500.0,硕士,5-10年,超聚变数字技术股份有限公司
数据,ai数据标注员,河南,河南省郑州市,4000-6000元/月,5000.0,大专,不限,郑州市中原区星芒数智信息科技工作室个体工商户
数据,数据标注/AI训练师,河南,河南省安阳市,3000-6000元/月,4500.0,大专,不限,河南澜星数产科技有限公司
数据,项目组长-数据标注方向,河南,河南省郑州市,5000-7000元/月,6000.0,大专,1-3年,泉行智数郑州科技有限公司
数据,项目组长-数据标注方向,河南,河南省郑州市,5000-7000元/月,6000.0,大专,1-3年,泉行智数郑州科技有限公司
数据,ai数据标注师,河南,河南省濮阳市,4000-8000元/月,6000.0,不限,1-3年,河南芒果智能数字科技有限公司
数据,财经数据治理工程师,河南,河南省郑州市,16000-30000元/月,23000.0,本科,5-10年,超聚变数字技术股份有限公司
数据,高级数据分析师,河南,河南省郑州市,10000-15000元/月,12500.0,本科,1-3年,河南路鸿探索数字能源有限公司
数据,社恐进~不沟通数据标注,河南,河南省郑州市,4000-6000元/月,5000.0,本科,不限,泉行智数郑州科技有限公司
数据,数据标注-3D方向,河南,河南省平顶山市,10-20元/月,15.0,高中,1-3年,河南华数云链科技有限公司
数据,数据采集,河南,河南省南阳市,3000-4000元/月,3500.0,不限,,南阳辰涵商贸有限公司
数据,AI数据标注/AI训练师,河南,河南省郑州市,4000-6000元/月,5000.0,本科,不限,泉行智数郑州科技有限公司
数据,数据开发,河南,河南省洛阳市,10000-15000元/月,12500.0,硕士,不限,郑州山之川商贸有限公司
数据,数据采集,河南,河南省平顶山市,6000-8000元/月,7000.0,不限,不限,河南佳联星智能科技有限公司
数据,音频数据标注/AI训练师,河南,河南省郑州市,5000-8000元/月,6500.0,本科,不限,泉行智数郑州科技有限公司
数据,数据标注,河南,河南省濮阳市,3000-8000元/月,5500.0,高中,不限,濮阳威隆网络科技有限公司
数据,项目经理/主管-数据标注,河南,河南省郑州市,8000-12000元/月,10000.0,大专,1-3年,泉行智数郑州科技有限公司
数据,音频数据标注/AI训练师,河南,河南省郑州市,5000-8000元/月,6500.0,本科,不限,泉行智数郑州科技有限公司
数据,数据采集,河南,河南省南阳市,2000-4000元/月,3000.0,中专/中技,1-3年,淅川县奔诚商贸有限公司
数据,外呼数据负责人（会数据分析优先）,河南,河南省郑州市,6000-8000元/月,7000.0,大专,不限,北京智乐活科技有限公司
数据,数据分析,河南,河南省洛阳市,3000-8000元/月,5500.0,大专,1-3年,洛阳健达电子商务有限公司
数据,数据采集,河南,河南省许昌市,3000-6000元/月,4500.0,不限,不限,河南霸行科技有限公司
数据,数据文员,湖北,湖北省荆州市,4000-5000元/月,4500.0,大专,1-3年,佛山市极加门窗有限公司
数据,数据标注项目经理,湖北,湖北省武汉市,3000-8000元/月,5500.0,大专,1-3年,山西数据元素科技有限公司
数据,数据审核,湖北,湖北省武汉市,3000-6000元/月,4500.0,大专,不限,山西艺溪云智科技有限责任公司
数据,数据专员,湖北,湖北省武汉市,3000-5000元/月,4000.0,大专,不限,山西星辰启航信息科技有限公司
数据,数据标注,湖北,湖北省武汉市,3000-6000元/月,4500.0,大专,不限,山西艺溪云智科技有限责任公司
数据,数据审核,湖北,湖北省武汉市,3000-6000元/月,4500.0,大专,不限,山西艺溪云智科技有限责任公司
数据,双休数据标注/AI训练师,湖北,湖北省武汉市,3000-5000元/月,4000.0,本科,不限,上海本原智数科技有限公司
数据,双休数据标注/AI训练师,湖北,湖北省武汉市,3000-5000元/月,4000.0,本科,不限,上海本原智数科技有限公司
数据,AI训练师/数据标注/周末双休,湖北,湖北省武汉市,4000-5000元/月,4500.0,本科,不限,武汉热热数据科技有限公司
数据,AI/数据标注/ 美学方向/周末双休,湖北,湖北省武汉市,4000-6000元/月,5000.0,本科,不限,武汉热热数据科技有限公司
数据,AI/大模型数理类数据验证专家/周末双休,湖北,湖北省武汉市,6000-9000元/月,7500.0,本科,1-3年,武汉热热数据科技有限公司
数据,数据采集,湖北,湖北省武汉市,4000-9000元/月,6500.0,大专,不限,武汉星抖汇文化传媒有限公司
数据,数据标注组长,湖北,湖北省武汉市,6000-8000元/月,7000.0,大专,1-3年,上海本原智数科技有限公司
数据,数据采集员,湖北,湖北省武汉市,4000-6000元/月,5000.0,不限,不限,爱娅文化传媒武汉有限公司
数据,AI 训练数据审核工程师（武汉）,湖北,湖北省武汉市,7000-12000元/月,9500.0,本科,1-3年,智能知识北京数据科技有限公司
数据,数据标注,湖北,湖北省宜昌市,3000-4000元/月,3500.0,大专,不限,博彦科技股份有限公司
数据,数据标注员/数据标注工程师,湖北,湖北省武汉市,6000-10000元/月,8000.0,不限,不限,武汉森琦科技有限公司
数据,数据标注/AI训练师,湖北,湖北省武汉市,3000-5000元/月,4000.0,本科,不限,上海本原智数科技有限公司
数据,中级数据标注/AI训练师,湖北,湖北省武汉市,3000-5000元/月,4000.0,本科,1-3年,上海本原智数科技有限公司
数据,数据标注员+五险,湖北,湖北省黄石市,4000-6000元/月,5000.0,大专,不限,湖北省京标数字科技有限公司
数据,数据标注/AI训练师,湖北,湖北省黄冈市,5000-8000元/月,6500.0,本科,1-3年,虫洞数据科技湖北有限公司
数据,后端数据处理工程师,湖北,湖北省武汉市,6000-9000元/月,7500.0,本科,1-3年,览易武汉智能数据服务有限公司
数据,数据标注员,湖北,湖北省武汉市,4000-5000元/月,4500.0,大专,不限,武汉新成智信大数据科技有限责任公司
数据,数据标注组长,湖北,湖北省武汉市,5000-8000元/月,6500.0,大专,1-3年,武汉新成智信大数据科技有限责任公司
数据,数据标注-美学/设计/摄影专业,湖北,湖北省武汉市,3000-5000元/月,4000.0,本科,不限,武汉热热数据科技有限公司
数据,数据标注/周末双休/接收实习加无经验,湖北,湖北省武汉市,4000-6000元/月,5000.0,本科,1-3年,武汉热热数据科技有限公司
数据,数据标注/AI训练师-美学方向-周末双休,湖北,湖北省武汉市,4000-7000元/月,5500.0,本科,不限,武汉热热数据科技有限公司
数据,AI线上数据标注金融高校行业专家兼职,湖北,湖北省武汉市,300-400元/月,350.0,硕士,不限,武汉热热数据科技有限公司
数据,数据标注-小语种/日韩法西泰越南俄语,湖北,湖北省武汉市,6000-8000元/月,7000.0,本科,不限,武汉热热数据科技有限公司
数据,bi数据分析师,湖北,湖北省武汉市,15000-30000元/月,22500.0,硕士,10年以上,北京中安豪杰大数据技术有限公司
数据,数据标注/AI训练师,湖北,湖北省咸宁市,3000-4000元/月,3500.0,中专/中技,不限,湖北中天悦才大数据有限公司
数据,数据库一体机测试工程师,湖北,湖北省武汉市,15000-20000元/月,17500.0,本科,3-5年,武汉达梦数据库股份有限公司
数据,外贸数据销售专员,湖北,湖北省武汉市,8000-13000元/月,10500.0,大专,不限,武汉国贸通大数据有限公司
数据,数据平台 / 数据仓库产品经理,湖北,湖北省武汉市,15000-20000元/月,17500.0,本科,5-10年,武汉锦辰数科技术有限公司
数据,遥感数据处理工程师,湖北,湖北省武汉市,150-200元/月,175.0,大专,,武汉珞珈众恒遥感数据科技有限公司
数据,数据标注/AI训练师,湖北,湖北省咸宁市,3000-6000元/月,4500.0,不限,不限,湖北中天悦才大数据有限公司
数据,数据工程师（高斯数据库证书）,湖北,湖北省武汉市,10000-13000元/月,11500.0,本科,3-5年,武汉电动汽车技术开发有限公司
数据,数据信息主管（数据开发）,湖北,湖北省武汉市,13000-15000元/月,14000.0,本科,1-3年,武汉启瑞科技发展有限公司
数据,数据标注师,湖北,湖北省武汉市,4000-7000元/月,5500.0,大专,3-5年,武汉市柯璇数字科技有限公司
数据,具身智能数据采集员,湖北,湖北省武汉市,4000-5000元/月,4500.0,大专,不限,数聚变武汉科技有限公司
数据,AI数据中心网络工程师,湖北,湖北省武汉市,15000-25000元/月,20000.0,本科,3-5年,武汉超擎数智科技有限公司
数据,数据交付经理（数据）,湖北,湖北省武汉市,15000-22000元/月,18500.0,本科,3-5年,湖北省楚天云有限公司
数据,数据标注工程师,湖北,湖北省十堰市,6000-10000元/月,8000.0,不限,不限,中数软湖北科技有限公司
数据,数据工程师,湖北,湖北省武汉市,8000-13000元/月,10500.0,本科,1-3年,湖北云网数算技术发展有限公司
数据,数据架构师/数据项目经理/数据资深顾问,湖北,湖北省武汉市,15000-25000元/月,20000.0,本科,1-3年,东风畅行科技股份有限公司
数据,外贸海关数据业务员+周末双休,湖北,湖北省武汉市,5000-9000元/月,7000.0,大专,1-3年,武汉国贸通大数据有限公司
数据,数据治理,湖北,湖北省武汉市,15000-20000元/月,17500.0,本科,3-5年,重庆中汇数联科技有限公司
数据,商业数据分析师（保险数据分析）,湖北,湖北省武汉市,15000-25000元/月,20000.0,本科,3-5年,武汉酷映网络科技有限公司
数据,数据标注/AI训练师,湖北,湖北省武汉市,7000-8000元/月,7500.0,本科,1-3年,长沙数字天蚂信息技术有限公司
数据,海关数据业务员+周末双休,湖北,湖北省武汉市,5000-8000元/月,6500.0,大专,1-3年,武汉国贸通大数据有限公司
数据,数据清洗，爬虫工程师,湖北,湖北省武汉市,20000-30000元/月,25000.0,本科,3-5年,武汉动感光波数字科技有限公司
数据,数据开发（武汉）,湖北,湖北省武汉市,14000-15000元/月,14500.0,本科,5-10年,佛山美云智数科技有限公司
数据,中台数据,湖北,湖北省武汉市,4000-5000元/月,4500.0,大专,不限,武汉播乐信息科技有限公司
数据,数据分析,湖北,湖北省武汉市,6000-8000元/月,7000.0,本科,不限,武汉馨喜医疗管理有限责任公司
数据,数据统计,湖北,湖北省襄阳市,5000-6000元/月,5500.0,大专,不限,南昌双胞胎猪业有限公司
数据,数据专员,湖北,湖北省武汉市,7000-10000元/月,8500.0,本科,不限,北京远大九和药业有限公司
数据,数据处理,湖北,湖北省武汉市,6000-10000元/月,8000.0,本科,不限,商安信上海企业发展股份有限公司
数据,数据开发,湖北,湖北省武汉市,7000-9000元/月,8000.0,本科,1-3年,北京思迈特科技有限公司
数据,数据挖掘,湖北,湖北省武汉市,10000-15000元/月,12500.0,不限,不限,湖北省良策不失科技有限公司
数据,数据挖掘,湖北,湖北省武汉市,5000-10000元/月,7500.0,不限,不限,湖北九方出行科技有限公司
数据,数据员,湖北,湖北省武汉市,6000-11000元/月,8500.0,本科,1-3年,武汉臻熹综合门诊有限公司
数据,数据挖掘,湖北,湖北省孝感市,3000-7000元/月,5000.0,中专/中技,不限,咸宁美宸商贸有限公司
数据,数据挖掘,湖北,湖北省孝感市,5000-10000元/月,7500.0,中专/中技,不限,武汉延飞贸易有限公司
数据,数据中心结构化布线工程师,湖北,湖北省武汉市,12000-18000元/月,15000.0,本科,3-5年,武汉超擎数智科技有限公司
数据,数据标注,湖北,湖北省武汉市,3000-5000元/月,4000.0,大专,不限,浙江热热科技有限公司
数据,数据标注,湖北,湖北省宜昌市,4000-5000元/月,4500.0,大专,不限,天津智创新业科技有限公司
数据,数据文员,湖北,湖北省荆门市,3000-4000元/月,3500.0,不限,不限,荆门众享电子商务有限公司
数据,数据产品,湖北,湖北省武汉市,13000-26000元/月,19500.0,本科,3-5年,岚图汽车科技股份有限公司
数据,数据分析,湖北,湖北省武汉市,13000-26000元/月,19500.0,本科,3-5年,岚图汽车科技股份有限公司
数据,数据专员,湖北,湖北省鄂州市,4000-6000元/月,5000.0,大专,1-3年,湖北华势供应链管理有限公司
数据,数据分析,湖北,湖北省恩施土家族苗族自治州,5000-9000元/月,7000.0,大专,不限,元木风界重庆科技有限公司
数据,ai数据标注员/入职交五险,湖北,湖北省黄石市,3000-6000元/月,4500.0,大专,不限,湖北省京标数字科技有限公司
数据,数据标注,湖北,湖北省襄阳市,3000-5000元/月,4000.0,不限,不限,湖北乔安信息科技有限公司
数据,数据文员,湖北,湖北省黄冈市,1000-3000元/月,2000.0,高中,1-3年,湖北呈德药业有限公司
数据,数据标注,湖北,湖北省孝感市,4000-5000元/月,4500.0,不限,不限,然博人工智能科技成都有限公司
数据,数据文员,湖北,湖北省荆州市,5000-6000元/月,5500.0,大专,1-3年,荆州市金山彩印有限公司
数据,数据部长,湖北,湖北省荆门市,7000-9000元/月,8000.0,不限,10年以上,湖北九曜物流股份有限公司
数据,数据主管,湖北,湖北省武汉市,6000-11000元/月,8500.0,本科,不限,北京远大九和药业有限公司
数据,数据开发,湖北,湖北省襄阳市,7000-10000元/月,8500.0,本科,3-5年,襄阳市良策网络科技有限公司
数据,数据标注,湖北,湖北省襄阳市,3000-4000元/月,3500.0,大专,不限,襄阳金慧互联网科技有限公司
数据,数据仓库,湖北,湖北省武汉市,12000-17000元/月,14500.0,大专,5-10年,江西俊桃慧企业管理咨询有限公司
数据,数据专员,湖北,湖北省武汉市,4000-6000元/月,5000.0,大专,不限,深圳百果园实业集团股份有限公司
数据,数据标注/ai训练师,湖南,湖南省长沙市,3000-5000元/月,4000.0,本科,,长沙辰枢数智科技有限公司
数据,ai数据标注员,湖南,湖南省长沙市,3000-4000元/月,3500.0,大专,不限,湖南映数科技有限公司
数据,数据调查员,湖南,湖南省湘潭市,3000-8000元/月,5500.0,不限,不限,湘潭初麓数字科技有限公司
数据,数据中心值班员,湖南,湖南省长沙市,6000-7000元/月,6500.0,中专/中技,1-3年,上海龙宇数据股份有限公司
数据,数据中心值班长,湖南,湖南省长沙市,9000-10000元/月,9500.0,高中,3-5年,上海龙宇数据股份有限公司
数据,数据标注/AI训练师,湖南,湖南省长沙市,3000-4000元/月,3500.0,本科,不限,长沙辰枢数智科技有限公司
数据,数据采标员,湖南,湖南省长沙市,3000-4000元/月,3500.0,本科,1-3年,长沙辰枢数智科技有限公司
数据,项目经理(数据标注),湖南,湖南省长沙市,6000-8000元/月,7000.0,大专,1-3年,江西创焱智科数据有限公司
数据,数据标注储备干部,湖南,湖南省长沙市,3000-5000元/月,4000.0,大专,,湖南映数科技有限公司
数据,数据分析主管,湖南,湖南省长沙市,6000-9000元/月,7500.0,本科,1-3年,上海辰月数据科技有限公司
数据,数据标注主管,湖南,湖南省长沙市,4000-6000元/月,5000.0,大专,1-3年,湖南映数科技有限公司
数据,数据标注储备干部,湖南,湖南省长沙市,4000-5000元/月,4500.0,大专,,湖南映数科技有限公司
数据,数据标注主管,湖南,湖南省长沙市,4000-6000元/月,5000.0,大专,1-3年,湖南映数科技有限公司
数据,数据标注储备干部,湖南,湖南省长沙市,3000-5000元/月,4000.0,大专,,湖南映数科技有限公司
数据,初级数据分析师,湖南,湖南省长沙市,5000-7000元/月,6000.0,本科,1-3年,执中数据科技苏州有限责任公司北京分公司
数据,数据标注主管,湖南,湖南省长沙市,4000-6000元/月,5000.0,大专,,湖南映数科技有限公司
数据,数据标注/AI训练师,湖南,湖南省长沙市,3000-4000元/月,3500.0,中专/中技,不限,湖南映数科技有限公司
数据,数据标注专员,湖南,湖南省长沙市,3000-5000元/月,4000.0,中专/中技,不限,湖南映数科技有限公司
数据,ai数据标注员,湖南,湖南省长沙市,3000-5000元/月,4000.0,大专,不限,湖南映数科技有限公司
数据,数据中台高级工程师,湖南,湖南省长沙市,15000-25000元/月,20000.0,本科,3-5年,湖南像数健康管理有限公司
数据,数据仓库开发工程师,湖南,湖南省长沙市,10000-15000元/月,12500.0,本科,1-3年,执中数据科技苏州有限责任公司北京分公司
数据,具身智能数据采集师,湖南,湖南省岳阳市,150-200元/月,175.0,不限,不限,北京百行数智科技有限公司
数据,数据线生产管理,湖南,湖南省永州市,6000-8000元/月,7000.0,不限,1-3年,宁远县豪通数码科技有限公司
数据,数据产品经理,湖南,湖南省长沙市,12000-20000元/月,16000.0,本科,3-5年,中电信数智科技有限公司湖南分公司
数据,遥感数据处理工程师,湖南,湖南省长沙市,8000-12000元/月,10000.0,硕士,5-10年,湖南数界科技有限公司
数据,数据标注组长,湖南,湖南省长沙市,7000-10000元/月,8500.0,大专,3-5年,深圳市百川数安科技有限公司
数据,数据运营-技术支持,湖南,湖南省长沙市,10000-15000元/月,12500.0,本科,1-3年,长沙数字天蚂信息技术有限公司
数据,数据文员,湖南,湖南省株洲市,4000-5000元/月,4500.0,不限,1-3年,株洲市安丽唯医疗美容有限公司
数据,数据开发,湖南,湖南省株洲市,9000-11000元/月,10000.0,大专,3-5年,深圳市法本信息技术股份有限公司
数据,数据员,湖南,湖南省永州市,3000-4000元/月,3500.0,大专,1-3年,祁阳市金世鸣邦信息咨询有限公司
数据,数据专员,湖南,湖南省长沙市,4000-5000元/月,4500.0,大专,1-3年,广州参照系企业管理咨询有限公司
数据,数据分析,湖南,湖南省长沙市,6000-8000元/月,7000.0,大专,1-3年,广西惠智无限科技有限公司
数据,数据员,湖南,湖南省娄底市,3000-4000元/月,3500.0,不限,不限,双峰美美口腔医院有限公司
数据,数据采集,湖南,湖南省长沙市,10000-11000元/月,10500.0,不限,,智汇前沿咨询管理湖南有限公司
数据,数据采集,湖南,湖南省长沙市,10000-11000元/月,10500.0,本科,不限,智汇前沿咨询管理湖南有限公司
数据,数据开发,湖南,湖南省长沙市,8000-9000元/月,8500.0,本科,3-5年,北京品辰科技有限公司
数据,政务数据产品运营专员,湖南,湖南省长沙市,13000-18000元/月,15500.0,本科,1-3年,中电信数智科技有限公司湖南分公司
数据,数据采集,湖南,湖南省怀化市,3000-8000元/月,5500.0,不限,,溆浦津兴广告传媒有限公司
数据,数据标注/AI训练师,湖南,湖南省长沙市,7000-8000元/月,7500.0,本科,1-3年,长沙数字天蚂信息技术有限公司
数据,数据分析,湖南,湖南省长沙市,20-25元/月,22.5,不限,不限,长沙市开福区龙木通信网络服务部
数据,数据机房网络工程师,湖南,湖南省长沙市,8000-13000元/月,10500.0,本科,1-3年,天闻数媒科技湖南有限公司
数据,数据专员,湖南,湖南省长沙市,4000-5000元/月,4500.0,大专,不限,河北千喜鹤饮食股份有限公司成都高新区分公司
数据,数据仓库,湖南,湖南省长沙市,12000-17000元/月,14500.0,大专,5-10年,江西俊桃慧企业管理咨询有限公司
数据,数据统计,湖南,湖南省株洲市,3000-4000元/月,3500.0,不限,1-3年,湖南金木陶瓷有限公司
数据,数据分析师,湖南,湖南省长沙市,12000-20000元/月,16000.0,本科,3-5年,上海睿能艾特信息科技有限公司
数据,具身智能机器人训练数据采集,湖南,湖南省常德市,3000-4000元/月,3500.0,高中,1-3年,湖南文宇数智光科技有限公司
数据,数据标注员,湖南,湖南省长沙市,3000-4000元/月,3500.0,中专/中技,不限,湖南省神州映晟产教融合控股集团有限公司
数据,数据分析,湖南,湖南省长沙市,5000-8000元/月,6500.0,本科,1-3年,深圳冰川网络股份有限公司
数据,数据分析师,湖南,湖南省长沙市,4000-9000元/月,6500.0,大专,1-3年,贵州三木星空文化有限公司
数据,数据分析师,湖南,湖南省怀化市,2000-3000元/月,2500.0,初中及以下,不限,怀化易姚商贸有限公司
数据,数据架构师,湖南,湖南省长沙市,10000-15000元/月,12500.0,本科,不限,长沙乐智网络科技有限公司
数据,数据安全,湖南,湖南省长沙市,12000-13000元/月,12500.0,本科,3-5年,杭州安恒信息技术股份有限公司
数据,数据开发,湖南,湖南省长沙市,7000-10000元/月,8500.0,本科,3-5年,北京资采信息技术有限公司
数据,数据专员,湖南,湖南省长沙市,4000-5000元/月,4500.0,本科,1-3年,长沙慎秋科技有限公司
数据,数据分析师,湖南,湖南省永州市,4000-5000元/月,4500.0,本科,1-3年,永州市冷水滩区果燃瘦饮品店个体工商户
数据,数据治理,湖南,湖南省长沙市,6000-10000元/月,8000.0,本科,1-3年,湖南森纳信息科技有限公司
数据,数据开发,湖南,湖南省长沙市,5000-6000元/月,5500.0,不限,1-3年,长沙讯扬科技有限公司
数据,数据采集,湖南,湖南省长沙市,10000-11000元/月,10500.0,不限,不限,智汇前沿咨询管理湖南有限公司
数据,数据采集,湖南,湖南省长沙市,10000-11000元/月,10500.0,不限,不限,智汇前沿咨询管理湖南有限公司
数据,数据信息员,湖南,湖南省益阳市,4000-6000元/月,5000.0,大专,不限,湖南顺丰速运有限公司
数据,数据运营,湖南,湖南省长沙市,8000-10000元/月,9000.0,本科,3-5年,北京中科闻歌科技股份有限公司
数据,数据治理,湖南,湖南省长沙市,9000-14000元/月,11500.0,本科,3-5年,北京中科闻歌科技股份有限公司
数据,数据分析师,湖南,湖南省长沙市,15000-20000元/月,17500.0,本科,5-10年,中科云谷科技有限公司
数据,数据专员,湖南,湖南省长沙市,4000-6000元/月,5000.0,本科,不限,上海宽睿信息科技有限责任公司
数据,数据分析岗,湖南,湖南省长沙市,20000-35000元/月,27500.0,本科,3-5年,湖南鸣鸣很忙商业连锁股份有限公司
数据,数据分析师,湖南,湖南省长沙市,7000-12000元/月,9500.0,本科,1-3年,湖南星联智创科技有限公司
数据,数据分析师,湖南,湖南省长沙市,7000-10000元/月,8500.0,本科,1-3年,湖南省极兔速递有限公司
数据,数据负责人,湖南,湖南省长沙市,20000-30000元/月,25000.0,本科,5-10年,湖南省交通科学研究院有限公司
数据,仓库数据员,湖南,湖南省长沙市,4000-6000元/月,5000.0,不限,1-3年,长沙市岳麓区宏谱生鲜店
数据,数据增长师,湖南,湖南省长沙市,8000-13000元/月,10500.0,本科,1-3年,长沙神漫文化科技有限公司
数据,数据分析师,湖南,湖南省怀化市,3000-6000元/月,4500.0,不限,不限,怀化易姚商贸有限公司
数据,数据分析师,湖南,湖南省湘潭市,10000-11000元/月,10500.0,不限,不限,湘潭市小服农业有限责任公司
